date,rate_before,rate_after,change_pct,direction
2000-02-02,5.68,5.706,0.026,hold
2000-03-21,5.774,6.01,0.236,hike
2000-05-16,6.144,6.508,0.364,hike
2000-06-28,6.544,6.928,0.384,hike
2000-08-22,6.454,6.55,0.096,hold
2000-10-03,6.614,6.452,-0.162,cut
2000-11-15,6.502,6.492,-0.01,hold
2000-12-19,6.554,6.448,-0.106,hold
2001-01-03,5.662,5.884,0.222,hike
2001-01-31,5.952,5.5,-0.452,cut
2001-03-20,5.42,4.978,-0.442,cut
2001-04-18,5.038,4.39,-0.648,cut
2001-05-15,4.47,3.982,-0.488,cut
2001-06-27,3.932,3.93,-0.002,hold
2001-08-21,3.674,3.524,-0.15,cut
2001-09-17,3.252,2.548,-0.704,cut
2001-10-02,2.87,2.426,-0.444,cut
2001-11-06,2.47,1.99,-0.48,cut
2001-12-11,1.906,1.886,-0.02,hold
2002-01-30,1.782,1.738,-0.044,hold
2002-03-19,1.78,1.706,-0.074,hold
2002-05-07,1.746,1.742,-0.004,hold
2002-06-26,1.748,1.748,0.0,hold
2002-08-13,1.702,1.738,0.036,hold
2002-09-24,1.706,1.798,0.092,hold
2002-11-06,1.714,1.202,-0.512,cut
2002-12-10,1.218,1.28,0.062,hold
2003-01-29,1.232,1.3,0.068,hold
2003-03-18,1.304,1.212,-0.092,hold
2003-05-06,1.258,1.248,-0.01,hold
2003-06-25,1.21,1.16,-0.05,hold
2003-08-12,0.97,1.284,0.314,hike
2003-09-16,1.034,0.998,-0.036,hold
2003-10-28,1.016,1.026,0.01,hold
2003-12-09,0.984,1.0,0.016,hold
2004-01-28,1.02,1.014,-0.006,hold
2004-03-16,1.006,0.996,-0.01,hold
2004-05-04,1.03,0.994,-0.036,hold
2004-06-30,1.074,1.26,0.186,hike
2004-08-10,1.322,1.476,0.154,hike
2004-09-21,1.598,1.768,0.17,hike
2004-11-10,1.774,2.02,0.246,hike
2004-12-14,2.1,2.242,0.142,hold
2005-02-02,2.468,2.502,0.034,hold
2005-03-22,2.698,2.788,0.09,hold
2005-05-03,2.956,2.984,0.028,hold
2005-06-30,3.136,3.268,0.132,hold
