month,neighborhood,value
2000-01-31,Burbank,265039.5418132716
2000-01-31,Glendale,263983.95862065454
2000-01-31,Pasadena,268581.1574054726
2000-01-31,Santa Monica,354076.01994594658
2000-02-29,Burbank,265488.2033394073
2000-02-29,Glendale,264288.810783622
2000-02-29,Pasadena,269186.2954815991
2000-02-29,Santa Monica,354237.83468259952
2000-03-31,Burbank,266840.95137860026
2000-03-31,Glendale,265621.28251765226
2000-03-31,Pasadena,270574.0706410197
2000-03-31,Santa Monica,355758.14176802331
2000-04-30,Burbank,269402.7044786239
2000-04-30,Glendale,268120.94489392877
2000-04-30,Pasadena,273210.41551535367
2000-04-30,Santa Monica,359232.58810730511
2000-05-31,Burbank,272484.8412972629
2000-05-31,Glendale,271079.9481781013
2000-05-31,Pasadena,276098.7102254383
2000-05-31,Santa Monica,365351.20282596169
2000-06-30,Burbank,275248.19286507746
2000-06-30,Glendale,273799.6519740816
2000-06-30,Pasadena,278828.0646256185
2000-06-30,Santa Monica,372998.16893923312
2000-07-31,Burbank,278084.7077906818
2000-07-31,Glendale,276442.4754365476
2000-07-31,Pasadena,281626.56191257946
2000-07-31,Santa Monica,380981.00699169288
2000-08-31,Burbank,281098.7147014552
2000-08-31,Glendale,278965.38230640366
2000-08-31,Pasadena,284598.213829088
2000-08-31,Santa Monica,387464.9316776038
2000-09-30,Burbank,283963.64410372596
2000-09-30,Glendale,280998.35791285307
2000-09-30,Pasadena,287346.0942645804
2000-09-30,Santa Monica,392047.34328246134
2000-10-31,Burbank,286280.64099689847
2000-10-31,Glendale,282515.82696478366
2000-10-31,Pasadena,289547.39130470564
2000-10-31,Santa Monica,395818.2116739559
2000-11-30,Burbank,288312.9816585822
2000-11-30,Glendale,284138.9307698814
2000-11-30,Pasadena,291630.20885250135
2000-11-30,Santa Monica,399514.09050376544
2000-12-31,Burbank,290319.85296176287
2000-12-31,Glendale,285917.21434183704
2000-12-31,Pasadena,293592.3134032083
2000-12-31,Santa Monica,404483.98686368886
2001-01-31,Burbank,291706.88311524113
2001-01-31,Glendale,287183.05091516074
2001-01-31,Pasadena,294971.9774579419
2001-01-31,Santa Monica,408574.28063880064
2001-02-28,Burbank,293207.31900594203
2001-02-28,Glendale,288456.1590042
2001-02-28,Pasadena,296349.1269906198
2001-02-28,Santa Monica,412453.98530812794
2001-03-31,Burbank,295135.0054505602
2001-03-31,Glendale,290165.5733798607
2001-03-31,Pasadena,298174.6119203262
2001-03-31,Santa Monica,416429.11258451018
2001-04-30,Burbank,298258.80667759746
2001-04-30,Glendale,293034.42467997986
2001-04-30,Pasadena,301241.50560077257
2001-04-30,Santa Monica,421784.79473153624
2001-05-31,Burbank,301359.1430560955
2001-05-31,Glendale,296012.8212489714
2001-05-31,Pasadena,304388.1102791403
2001-05-31,Santa Monica,425284.06360178307
2001-06-30,Burbank,304424.37783390476
2001-06-30,Glendale,299053.2992455395
2001-06-30,Pasadena,307624.2822217872
2001-06-30,Santa Monica,427426.77035467286
2001-07-31,Burbank,307389.4265122107
2001-07-31,Glendale,301948.33497791464
2001-07-31,Pasadena,310851.9216439896
2001-07-31,Santa Monica,428818.088526956
2001-08-31,Burbank,310421.3291745349
2001-08-31,Glendale,304932.75685296615
2001-08-31,Pasadena,314323.7185026387
2001-08-31,Santa Monica,431879.23096426361
2001-09-30,Burbank,313188.1238295745
2001-09-30,Glendale,307441.8263629233
2001-09-30,Pasadena,317349.9909146933
2001-09-30,Santa Monica,434445.16547910467
2001-10-31,Burbank,315681.40946920385
2001-10-31,Glendale,309796.62082975986
2001-10-31,Pasadena,320183.5484856593
2001-10-31,Santa Monica,435961.82761409396
2001-11-30,Burbank,317977.11395668605
2001-11-30,Glendale,311845.0407024023
2001-11-30,Pasadena,322583.9664454064
2001-11-30,Santa Monica,437729.01251502126
2001-12-31,Burbank,320059.1090189927
2001-12-31,Glendale,313929.4236938897
2001-12-31,Pasadena,324947.26677458856
2001-12-31,Santa Monica,440000.78120619961
2002-01-31,Burbank,321465.5178289304
2002-01-31,Glendale,315387.73758910707
2002-01-31,Pasadena,326666.33404185274
2002-01-31,Santa Monica,440635.4614016579
2002-02-28,Burbank,323117.0393421129
2002-02-28,Glendale,317444.59943176707
2002-02-28,Pasadena,328944.9510017841
2002-02-28,Santa Monica,440706.63211269357
2002-03-31,Burbank,325849.22305598133
2002-03-31,Glendale,320348.3144707812
2002-03-31,Pasadena,332237.0214578989
2002-03-31,Santa Monica,440782.09963768191
2002-04-30,Burbank,330179.69394211116
2002-04-30,Glendale,324534.70232960366
2002-04-30,Pasadena,336769.803689358
2002-04-30,Santa Monica,443803.59073960246
2002-05-31,Burbank,335368.8745581746
2002-05-31,Glendale,329086.0659618981
2002-05-31,Pasadena,342065.69815434207
2002-05-31,Santa Monica,448023.48981160513
2002-06-30,Burbank,340763.1668464598
2002-06-30,Glendale,333659.94383670355
2002-06-30,Pasadena,347181.85523027554
2002-06-30,Santa Monica,453051.12743163807
2002-07-31,Burbank,347004.97907737945
2002-07-31,Glendale,339214.552576803
2002-07-31,Pasadena,353074.8217330058
2002-07-31,Santa Monica,460380.3171070239
2002-08-31,Burbank,353535.108908824
2002-08-31,Glendale,344986.0700311927
2002-08-31,Pasadena,358985.94416706444
2002-08-31,Santa Monica,468462.9741429
2002-09-30,Burbank,360514.69783258066
2002-09-30,Glendale,351049.87704225635
2002-09-30,Pasadena,365591.26111296384
2002-09-30,Santa Monica,476897.58279340644
2002-10-31,Burbank,367096.57193762047
2002-10-31,Glendale,356523.0278682304
2002-10-31,Pasadena,371857.29279909167
2002-10-31,Santa Monica,483583.90800893027
2002-11-30,Burbank,373546.773026349
2002-11-30,Glendale,361977.26729583833
2002-11-30,Pasadena,378164.5259008648
2002-11-30,Santa Monica,489628.09082518547
2002-12-31,Burbank,379648.9198220279
2002-12-31,Glendale,367248.4202264426
2002-12-31,Pasadena,384116.8715955165
2002-12-31,Santa Monica,496479.75318757846
2003-01-31,Burbank,384511.7979204156
2003-01-31,Glendale,371551.52360542933
2003-01-31,Pasadena,388978.65249283036
2003-01-31,Santa Monica,501101.86077207158
2003-02-28,Burbank,388763.6018527211
2003-02-28,Glendale,375381.92225563497
2003-02-28,Pasadena,393297.02635614964
2003-02-28,Santa Monica,505969.77495922026
2003-03-31,Burbank,393446.1585030479
2003-03-31,Glendale,379564.4797347574
2003-03-31,Pasadena,397934.75254061486
2003-03-31,Santa Monica,511398.57664778148
2003-04-30,Burbank,398497.39527142834
2003-04-30,Glendale,384343.49158579856
2003-04-30,Pasadena,403089.900738537
2003-04-30,Santa Monica,519475.88100046478
2003-05-31,Burbank,404302.1621892745
2003-05-31,Glendale,389862.82283582585
2003-05-31,Pasadena,409265.4166415658
2003-05-31,Santa Monica,527232.44679371035
2003-06-30,Burbank,409066.39851912175
2003-06-30,Glendale,394546.6504566539
